Quantidade;Preco_Real;Preco_Previsto
424;189.97;102.65136854238297
655;0.87;83.81378151885477
496;60.33;96.77991284673783
817;26.89;70.60300620365318
43;25.39;133.72115493183856
437;1.71;101.59124459733593
12;82.62;136.2491428007969
21;6.18;135.51521083884126
953;156.76;59.51247877854567
1;40.91;137.14617075429825
905;63.28;63.426782575642434
757;31.22;75.49588595002413
21;42.4;135.51521083884126
300;9.76;112.76332001821629
705;22.52;79.73638173021232
322;83.38;110.9692641112136
813;259.03;70.92919818674459
105;7.8;128.66517919392192
229;99.85;118.55322771808859
80;252.56;130.70387908824316
928;1.27;61.55117867286691
516;130.49;95.14895293128083
406;195.36;104.11923246629425
17;0.45;135.84140282193266
9;15.92;136.49378678811544
163;84.51;123.93539543909665
49;283.28;133.23186695720148
7;77.94;136.65688277966115
209;285.4;120.18418763354558
90;2.36;129.88839913051464
8;6.05;136.5753347838883
803;158.03;71.74467814447307
28;29.68;134.9443748684313
696;1.11;80.47031369216795
298;115.38;112.926416009762
323;2.46;110.88771611544075
629;76.24;85.93402940894886
915;0.95;62.61130261791395
773;1.42;74.19111801765855
550;37.89;92.37632107500396
153;175.36;124.75087539682514
808;39.74;71.33693816560883
918;8.35;62.366658630595396
287;79.8;113.82344396326333
401;0.92;104.5269724451585
44;26.33;133.63960693606572
604;85.16;87.97272930327009
26;64.84;135.107470859977
33;0.91;134.53663488956707
512;5.92;95.47514491437224
74;20.37;131.19316706288024
220;38.13;119.28715968004424
557;29.49;91.80548510459401
936;0.94;60.898794706684114
869;1.03;66.36251042346501
43;79.5;133.72115493183856
850;129.09;67.91192234314916
100;36.01;129.07291917278616
944;5.15;60.24641074050132
405;31.94;104.20078046206712
731;23.19;77.61613384011822
41;209.23;133.88425092338426
687;44.27;81.2042456541236
143;69.38;125.56635535455364
824;109.48;70.03217023324324
333;25.26;110.07223615771227
547;28.65;92.62096506232251
16;315.56;135.9229508177055
369;18.16;107.13650830988968
845;64.02;68.3196623220134
800;271.22;71.98932213179162
2;78.09;137.0646227585254
3;32.62;136.98307476275255
442;41.44;101.18350461847169
851;28.45;67.8303743473763
740;28.21;76.88220187816259
152;21.83;124.83242339259799
968;14.34;58.28925884195293
751;21.95;75.98517392466124
646;0.46;84.54771348081042
828;271.55;69.70597825015184
731;113.14;77.61613384011822
24;5.35;135.27056685152272
453;277.01;100.28647666497034
179;187.45;122.63062750673106
12;73.16;136.2491428007969
502;6.72;96.29062487210072
48;37.95;133.3134149529743
549;34.59;92.45786907077681
357;1.15;108.11508425916388
866;10.89;66.60715441078356
544;23.65;92.86560904964105
36;124.23;134.29199090224853
887;90.26;64.89464649955373
377;217.0;106.4841243437069
734;12.07;77.37148985279967
682;20.76;81.61198563298784
320;27.11;111.1323601027593
36;20.4;134.29199090224853
8;162.86;136.5753347838883
6;148.06;136.73843077543398
24;2.27;135.27056685152272
985;22.21;56.9029429138145
531;1.23;93.92573299468809
584;169.93;89.60368921872708
987;38.41;56.7398469222688
797;77.75;72.23396611911016
295;5.72;113.17105999708053
57;13.41;132.57948299101866
10;0.9;136.4122387923426
15;13.93;136.00449881347836
568;52.42;90.90845715109268
13;160.45;136.16759480502404
781;1.24;73.53873405147576
911;32.78;62.93749460100534
995;12.59;56.087462956086
17;7.94;135.84140282193266
871;5.69;66.19941443191932
718;45.72;78.67625778516526
124;2.8;127.11576727423777
263;20.89;115.78059586181172
48;23.65;133.3134149529743
956;86.59;59.26783479122713
982;1.13;57.14758690113304
511;1.19;95.55669291014507
280;34.56;114.39427993367327
2;36.3;137.0646227585254
241;140.62;117.5746517688144
56;4.76;132.66103098679153
682;134.94;81.61198563298784
793;1.17;72.56015810220157
2;229.69;137.0646227585254
650;103.84;84.22152149771902
780;1.42;73.62028204724861
19;1.79;135.67830683038696
336;85.36;109.82759217039371
550;30.22;92.37632107500396
730;15.69;77.69768183589107
39;7.35;134.04734691492996
867;11.01;66.52560641501071
482;17.5;97.92158478755772
917;97.76;62.44820662636825
88;75.82;130.05149512206035
887;31.45;64.89464649955373
100;1.14;129.07291917278616
227;11.38;118.7163237096343
10;0.49;136.4122387923426
3;9.32;136.98307476275255
498;8.13;96.61681685519213
56;6.99;132.66103098679153
953;101.57;59.51247877854567
947;7.63;60.001766753182764
46;16.62;133.47651094452002
835;1.03;69.1351422797419
17;28.23;135.84140282193266
27;57.06;135.02592286420415
43;59.04;133.72115493183856
227;18.0;118.7163237096343
415;214.97;103.38530050433862
156;1.94;124.5062314095066
952;21.01;59.59402677431852
28;34.78;134.9443748684313
827;82.12;69.78752624592468
865;45.13;66.68870240655642
751;33.02;75.98517392466124
27;0.89;135.02592286420415
38;27.4;134.12889491070283
6;12.5;136.73843077543398
772;72.69;74.2726660134314
1;25.78;137.14617075429825
428;74.22;102.32517655929158
29;32.14;134.86282687265847
872;1.14;66.11786643614647
795;17.53;72.39706211065587
49;316.93;133.23186695720148
203;28.4;120.67347560818267
9;1.66;136.49378678811544
570;161.63;90.74536115954697
175;57.09;122.95681948982246
660;31.22;83.40604153999053
982;151.75;57.14758690113304
504;27.5;96.12752888055502
17;32.46;135.84140282193266
57;4.44;132.57948299101866
43;23.94;133.72115493183856
931;22.07;61.30653468554836
21;28.75;135.51521083884126
988;39.2;56.658298926495945
750;116.58;76.06672192043408
443;105.95;101.10195662269884
15;13.9;136.00449881347836
462;6.26;99.55254470301469
36;16.46;134.29199090224853
650;1.21;84.22152149771902
914;23.83;62.6928506136868
787;54.37;73.04944607683866
925;28.95;61.79582266018545
13;144.59;136.16759480502404
17;139.94;135.84140282193266
40;36.84;133.96579891915712
992;49.11;56.332106943404554
608;27.88;87.6465373201787
712;29.35;79.16554575980237
964;17.33;58.615450825044334
230;35.81;118.47167972231574
3;13.85;136.98307476275255
305;378.67;112.35558003935205
990;150.72;56.49520293495024
112;141.8;128.09434322351197
901;1.32;63.75297455873384
112;1.36;128.09434322351197
8;256.05;136.5753347838883
960;0.67;58.941642808135725
175;34.66;122.95681948982246
46;50.81;133.47651094452002
11;162.49;136.33069079656974
956;73.57;59.26783479122713
44;8.02;133.63960693606572
506;1.23;95.96443288900932
130;24.43;126.62647929960067
98;6.79;129.23601516433186
867;4.7;66.52560641501071
855;1.32;67.5041823642849
841;70.39;68.64585430510479
913;65.23;62.77439860945964
689;0.77;81.0411496625779
41;4.18;133.88425092338426
41;43.12;133.88425092338426
276;106.53;114.72047191676467
10;56.06;136.4122387923426
3;239.65;136.98307476275255
400;234.39;104.60852044093136
32;38.06;134.6181828853399
290;8.85;113.57879997594478
995;15.39;56.087462956086
517;7.45;95.06740493550798
29;72.63;134.86282687265847
101;72.21;128.99137117701332
998;17.3;55.842818968767446
129;1.78;126.70802729537353
819;1.0;70.43991021210748
257;10.07;116.26988383644881
400;268.4;104.60852044093136
631;30.6;85.77093341740316
459;1.3;99.79718869033324
58;0.43;132.49793499524583
538;10.02;93.35489702427815
631;69.7;85.77093341740316
841;19.69;68.64585430510479
748;0.83;76.22981791197978
482;92.7;97.92158478755772
62;36.21;132.17174301215442
873;35.39;66.03631844037362
48;7.92;133.3134149529743
818;27.54;70.52145820788033
314;18.22;111.6216480773964
39;33.57;134.04734691492996
561;61.26;91.47929312150262
754;163.3;75.7405299373427
120;17.41;127.44195925732917
8;6.2;136.5753347838883
389;70.74;105.5055483944327
349;60.33;108.76746822534668
284;7.96;114.06808795058188
19;79.64;135.67830683038696
630;1.32;85.85248141317601
21;65.63;135.51521083884126
320;46.71;111.1323601027593
225;80.16;118.87941970117998
266;25.98;115.53595187449316
66;1.27;131.84555102906305
774;30.44;74.1095700218857
25;189.65;135.18901885574985
54;85.56;132.82412697833723
619;15.08;86.74950936667736
953;1.77;59.51247877854567
314;231.89;111.6216480773964
988;152.47;56.658298926495945
297;66.59;113.00796400553483
694;22.34;80.63340968371365
414;14.39;103.46684850011147
56;0.81;132.66103098679153
15;1.38;136.00449881347836
39;2.15;134.04734691492996
95;25.96;129.4806591516504
41;242.69;133.88425092338426
676;4.08;82.10127360762493
926;32.94;61.7142746644126
